task_id,category,task_language,task_apps,task_template,task_instantiation
1,Simple Concatenation,English,"['Settings', 'Camera']","Turn on WiFi, then take one photo.","Turn on WiFi, then take one photo."
2,Simple Concatenation,English,"['Settings', 'Retro Music']","Turn the brightness to the maximum level, then create a playlist in Retro Music titled [playlist_name] with the songs [song 1] and [song 2]","Turn the brightness to the maximum level, then create a playlist in Retro Music titled ""Urban Vibes"" with the songs ""Blinding Lights"" and ""Die For You (Remix)"""
3,Simple Concatenation,English,"['Settings', 'Audio Recorder']","Turn on Bluetooth, then record an audio clip and save it with name ""[Audio Name]"" using Audio Recorder app.","Turn on Bluetooth, then record an audio clip and save it with name ""NexusAudio"" using Audio Recorder app."
4,Simple Concatenation,English,"['Broccoli Recipe App', 'Tasks App']","In Broccoli recipe app, add a new recipe titled ""[Recipe Name]"" with description ""[Recipe Description]"", then create a task titled ""Buy ingredients for [Recipe Name]."" in the Tasks app.","In Broccoli recipe app, add a new recipe titled ""Avocado Toast"" with description ""Cook Avocado Toast with Avocado, Bread and Salt"", then create a task titled ""Buy ingredients for Avocado Toast."" in the Tasks app."
5,Simple Concatenation,English,"['Broccoli Recipe App', 'Simple Draw Pro']","In Broccoli recipe app, delete the recipe titled ""[Recipe Name]"". Then create a new drawing named ""[Picture Name].png"" in Simple Draw Pro and save it in the Pictures folder within the sdk_gphone_arm64 storage area.","In Broccoli recipe app, delete the recipe titled ""Pasta Salad"". Then create a new drawing named ""nexus_pic.png"" in Simple Draw Pro and save it in the Pictures folder within the sdk_gphone_arm64 storage area."
6,Simple Concatenation,English,"['File Manager', 'Markor']","In the Android filesystem, move the file ""[File Name].txt"" from the ""Documents"" folder within the sdk_gphone_arm64 storage storage area to the ""Archive"" folder within the sdk_gphone_arm64 storage storage area, and delete the note named ""old_note.md"" in Markor.","In the Android filesystem, move the file ""notes.txt"" from the ""Documents"" folder within the sdk_gphone_arm64 storage storage area to the ""Archive"" folder within the sdk_gphone_arm64 storage storage area, and delete the note named ""old_note.md"" in Markor."
7,Simple Concatenation,English,"['Markor', 'Clock App']","Delete all notes in Markor, then pause the stopwatch in the Clock app.","Delete all notes in Markor, then pause the stopwatch in the Clock app."
8,Simple Concatenation,English,"['OsmAnd Maps', 'File Manager']","Add a favorite location marker for [Location 1], [Location 2] in the OsmAnd maps app. Then in file manager, find ""[File Name].png"" in the ""Pictures"" folder within the sdk_gphone_arm64 storage storage area, and delete it.","Add a favorite location marker for 47.1303814, 9.5930117 in the OsmAnd maps app. Then in file manager, find ""profile_v1.png"" in the ""Pictures"" folder within the sdk_gphone_arm64 storage storage area, and delete it."
9,Simple Concatenation,English,"['Settings', 'arduia Pro Expense']","Turn WiFi off in Settings, then delete the expenses ""[Event Name 1]"" and ""[Event Name 2]"" in the arduia pro expense.","Turn WiFi off in Settings, then delete the expenses ""Snack Purchase"" and ""Grocery Shopping"" in the arduia pro expense."
10,Simple Concatenation,English,"['Contacts App', 'Markor']","Create and save a new contact with first name ""[Name 1]"", last name ""[Name 2]"", phone ""[Phone Number 1]"", phone label ""[Label 1]"" in the Contacts app. Then create a note named ""ContactCreated.md"" with the text ""Contact [Name 1] [Name 2] saved."" in Markor.","Create and save a new contact with first name ""John"", last name ""Doe"", phone ""111222333"", phone label ""Work"" in the Contacts app. Then create a note named ""ContactCreated.md"" with the text ""Contact John Doe saved."" in Markor."
11,Simple Concatenation,English,"['VLC', 'Markor']","Create two playlists in VLC: [playlist 1] with files [video1] and [video 2], and [playlist 2] with files [video 3] and [video 4] (the .mp4 files are located in Internal Memory/VLCVideos); finally, create a folder named ""Drafts"" in markor.","Create two playlists in VLC: ""Feel Good Hits"" with files ""CountingStars.mp4"" and ""LoveStory.mp4"", and ""Classic Vibes"" with files ""HeyJude.mp4"" and ""Yesterday.mp4"" (the .mp4 files are located in Internal Memory/VLCVideos); finally, create a folder named ""Drafts"" in markor."
12,Simple Concatenation,English,"['Simple Calendar Pro', 'Simple SMS Messenger']","In Simple Calendar Pro, create an event for April 15th at 11h titled ""Call with [Name 1]"" lasting 20 minutes; then reply to the most recent message with ""Call scheduled at 11h"" in Simple SMS Messenger.","In Simple Calendar Pro, create an event for April 15th at 11h titled ""Call with Client"" lasting 20 minutes; then reply to the most recent message with ""Call scheduled at 11h"" in Simple SMS Messenger."
13,Simple Concatenation,English,"['Clock App', 'Retro Music']","In the Clock app, set a timer for 25 minutes without starting it, then play the album 'Focus Beats' in Retro Music.","In the Clock app, set a timer for 25 minutes without starting it, then play the album 'Focus Beats' in Retro Music."
14,Simple Concatenation,English,"['Markor', 'Audio Recorder']",Delete the newest note in Markor. Then record an audio clip using Audio Recorder app and save it.,Delete the newest note in Markor. Then record an audio clip using Audio Recorder app and save it.
15,Simple Concatenation,English,"['Tasks App', 'Broccoli Recipe App']","In the Tasks app, create and save a new task named '[Event Name]' repeating every day. Then open the Broccoli recipe app and delete the '[Recipe Name]' recipe.","In the Tasks app, create and save a new task named 'Exercise' repeating every day. Then open the Broccoli recipe app and delete the 'French Fries' recipe."
16,Simple Concatenation,English,"['Settings', 'Simple SMS Messenger']","Turn on Bluetooth, then open the Simple SMS Messenger app and send a text message to [Phone Number 1] with the message: ""Nice to meet you [Name 1]!""","Turn on Bluetooth, then open the Simple SMS Messenger app and send a text message to 987654321 with the message: ""Nice to meet you Yuan!"""
17,Simple Concatenation,English,"['Broccoli Recipe App', 'Tasks App']","Add the following recipe into the broccoli app: Recipe: Chicken Caesar Salad Wrap description: An ideal recipe for experimenting with different flavors and ingredients servings: 3-4 servings preparationTime: 2 hrs ingredients: as desired directions: Toss chopped romaine lettuce with Caesar dressing, grilled chicken strips, and Parmesan cheese. Wrap in a large tortilla. Feel free to substitute with ingredients you have on hand. And create a task titled ""Buy ingredients for Avocado Toast."" in the Tasks app.","Add the following recipe into the broccoli app: Recipe: Chicken Caesar Salad Wrap description: An ideal recipe for experimenting with different flavors and ingredients servings: 3-4 servings preparationTime: 2 hrs ingredients: as desired directions: Toss chopped romaine lettuce with Caesar dressing, grilled chicken strips, and Parmesan cheese. Wrap in a large tortilla. Feel free to substitute with ingredients you have on hand. And create a task titled ""Buy ingredients for Avocado Toast."" in the Tasks app."
18,Simple Concatenation,English,"['Clock App', 'Settings', 'Simple SMS Messenger']","Define a subworkflow ""NightCheck"": (1) pause the stopwatch, (2) turn off Bluetooth, (3) turn off WiFi. Run ""NightCheck"", then in Simple SMS Messenger, send a message to [Name 1] saying ""Good night""","Define a subworkflow ""NightCheck"": (1) pause the stopwatch, (2) turn off Bluetooth, (3) turn off WiFi. Run ""NightCheck"", then in Simple SMS Messenger, send a message to Yuan saying ""Good night"""
19,Simple Concatenation,English,"['Simple SMS Messenger', 'Tasks App', 'Markor']","Define a subworkflow ""SendReminder"": (1) In Simple SMS Messenger, send a message to [Name 1] saying ""Reminder: Meeting tomorrow at 10 AM"", (2) In Tasks app, create a task titled ""Follow up with [Name 1]"" with high priority and due date tomorrow. Execute ""SendReminder"" for: (contact = ""[Name 1]""), (contact = ""[Name 2]""), (contact = ""[Name 3]""). After all reminders have been sent and tasks created, create a note named ""ReminderSentLog.md"" in Markor with exactly the following content: # Reminder Sent Log - Contact: [Name 1] SMS Sent: ""Reminder: Meeting tomorrow at 10 AM"" Task Created: ""Follow up with [Name 1]"" - Contact: [Name 2] SMS Sent: ""Reminder: Meeting tomorrow at 10 AM"" Task Created: ""Follow up with [Name 2]"" - Contact: [Name 3] SMS Sent: ""Reminder: Meeting tomorrow at 10 AM"" Task Created: ""Follow up with [Name 3]""","Define a subworkflow ""SendReminder"": (1) In Simple SMS Messenger, send a message to {contact} saying ""Reminder: Meeting tomorrow at 10 AM"", (2) In Tasks app, create a task titled ""Follow up with {contact}"" with high priority and due date tomorrow. Execute ""SendReminder"" for: (contact = ""John Doe""), (contact = ""Alice Smith""), (contact = ""Charlie Brown""). After all reminders have been sent and tasks created, create a note named ""ReminderSentLog.md"" in Markor with exactly the following content: # Reminder Sent Log - Contact: John Doe SMS Sent: ""Reminder: Meeting tomorrow at 10 AM"" Task Created: ""Follow up with John Doe"" - Contact: Alice Smith SMS Sent: ""Reminder: Meeting tomorrow at 10 AM"" Task Created: ""Follow up with Alice Smith"" - Contact: Charlie Brown SMS Sent: ""Reminder: Meeting tomorrow at 10 AM"" Task Created: ""Follow up with Charlie Brown"""
