task_id,task_category,task_language,task_apps,task_template,task_instantiation,step_limit
1,Simple Concatenation,Chinese,"['网易云音乐', '美团']","在网易云音乐中搜索并播放Hotel California，然后在美团点一杯茶百道的奶茶并停留在下单界面。","在网易云音乐中搜索并播放Hotel California，然后在美团点一杯茶百道的奶茶并停留在下单界面。",30
2,Simple Concatenation,Chinese,"['设置', '哔哩哔哩']","进入手机设置，确保Wifi已经打开。然后，打开哔哩哔哩，搜索“Beyonce”，并播放其中一个搜索结果。","进入手机设置，确保Wifi已经打开。然后，打开哔哩哔哩，搜索“Beyonce”，并播放其中一个搜索结果。",15
3,Simple Concatenation,Chinese,"['腾讯会议', '微信']","打开腾讯会议，开启并进入一个快速会议。然后在微信中告诉[name 1]“我已经创建并进入会议”。","打开腾讯会议，开启并进入一个快速会议。然后在微信中告诉Yuan我已经创建并进入会议”。",20
4,Simple Concatenation,Chinese,"['网易邮箱大师', '高德地图']","打开网易邮箱大师，撰写一封主题为“假期计划”，内容为“我假期计划去海滩度假”的邮件发送至[mail address]，然后打开高德地图搜索最近的海滩位置，停留在搜索结果界面。","打开网易邮箱大师，撰写一封主题为“假期计划”，内容为“我假期计划去海滩度假”的邮件发送至sjtu.cs.gy@gmail.com，然后打开高德地图搜索最近的海滩位置，停留在搜索结果界面。",30
5,Simple Concatenation,Chinese,"['微信']","问候一位微信好友的流程为：在微信中进入与该好友的聊天界面，发送“早安！”，然后发送一个表情包。请分别用这个方法问候微信好友[name 1]和[name 2]。","问候一位微信好友的流程为：在微信中进入与该好友的聊天界面，发送“早安！”，然后发送一个表情包。请分别用这个方法问候微信好友Yuan和Ting-Chia。",30
6,Simple Concatenation,Chinese,"['微信']","打开微信，查看与文件传输助手的聊天记录，把近三条图片信息保存到手机本地。","打开微信，查看与文件传输助手的聊天记录，把近三条图片信息保存到手机本地。",20
7,Simple Concatenation,Chinese,"['哔哩哔哩']","在哔哩哔哩收藏一首交响乐的方法是：搜索这支交响乐的现场演奏视频，进入详细播放界面，并点击收藏，加进“交响乐”收藏夹。用这样的方法收藏威廉·退尔序曲、彼得与狼和伏尔塔瓦河这三首交响乐。","在哔哩哔哩收藏一首交响乐的方法是：搜索这支交响乐的现场演奏视频，进入详细播放界面，并点击收藏，加进“交响乐”收藏夹。用这样的方法收藏威廉·退尔序曲、彼得与狼和伏尔塔瓦河这三首交响乐。",40
8,Context Transition,Chinese,"['高德地图', '腾讯文档']","打开高德地图搜索附近的港式茶餐厅。然后打开腾讯文档新建一个名为“附近的茶餐厅”的空白文档，包括刚刚的第一个搜索结果的名字和距离。","打开高德地图搜索附近的港式茶餐厅。然后打开腾讯文档新建一个名为“附近的茶餐厅”的空白文档，包括刚刚的第一个搜索结果的名字和距离。",30
9,Context Transition,Chinese,"['百度浏览器', '新浪微博']","使用百度浏览器搜索中国微博人气最高的十位明星。然后在新浪微博app上关注其中三位。","使用百度浏览器搜索中国微博人气最高的十位明星。然后在新浪微博app上关注其中三位。",45
10,Context Transition,Chinese,"['百度浏览器', '微信群']","使用百度浏览器搜索人民币美元汇率，然后在微信群[group chat 1]里发：“今日人民币美元汇率：xxx”（xxx替换成你搜到的值）。","使用百度浏览器搜索人民币美元汇率，然后在微信群NEXUS-Group里发：“今日人民币美元汇率：xxx”（xxx替换成你搜到的值）。",20
11,Context Transition,Chinese,"['网易云音乐', '微信']","打开网易云音乐，搜索并播放Counting Stars，并将这首歌分享给微信好友[name 1]，并告诉他：“这是我最喜欢的英文歌”。","打开网易云音乐，搜索并播放Counting Stars，并将这首歌分享给微信好友Yuan，并告诉他：“这是我最喜欢的英文歌”。",30
12,Context Transition,Chinese,"['美图秀秀', '小红书']","在美图秀秀中，利用首页的“图片美化”功能打开图库里的最新照片，加一个“透亮肌”滤镜，然后保存并分享到小红书。","在美图秀秀中，利用首页的“图片美化”功能打开图库里的最新照片，加一个“透亮肌”滤镜，然后保存并分享到小红书。",30
13,Context Transition,Chinese,"['网易云音乐']","打开网易云音乐，检查当前播放歌曲是否为收藏曲目，如果不是的话将其收藏，如果是的话回到手机主页。","打开网易云音乐，检查当前播放歌曲是否为收藏曲目，如果不是的话将其收藏，如果是的话回到手机主页。",10
14,Context Transition,Chinese,"['百度', '微信']","打开百度，搜索“上海今日天气”。如果显示今天会下雨，就进入微信，给[name 1]发送“记得带伞”；否则，进入微信并给[name 1]发送“今日晴”。","打开百度，搜索“上海今日天气”。如果显示今天会下雨，就进入微信，给Yuan发送“记得带伞”；否则，进入微信并给Yuan发送“今日晴”。",20
15,Context Transition,Chinese,"['拼多多', '朋友圈']","打开拼多多，进入“限时秒杀”，查看其中的一款商品并转发朋友圈，配文“大家快来抢”。然后点击抢购并停留在下单页面。","打开拼多多，进入“限时秒杀”，查看其中的一款商品并转发朋友圈，配文“大家快来抢”。然后点击抢购并停留在下单页面。",20
16,Context Transition,Chinese,"['高德地图', '设置']","打开高德地图，搜索东方明珠广播电视塔，然后收藏这个地址并开启向它的导航。导航开始之后，进入设置，在“声音与振动”中将声音模式设置为响铃。","打开高德地图，搜索东方明珠广播电视塔，然后收藏这个地址并开启向它的导航。导航开始之后，进入设置，在“声音与振动”中将声音模式设置为响铃。",25
17,Context Transition,Chinese,"['腾讯会议', '微信']","打开腾讯会议，查看我有没有会议日程。如果有，在微信里告知[name 1]你的会议安排；如果没有，在微信里告诉[name 1]“没有预约的会议安排”。","打开腾讯会议，查看我有没有会议日程。如果有，在微信里告知Yuan你的会议安排；如果没有，在微信里告诉Yuan“没有预约的会议安排”。",16
18,Context Transition,Chinese,"['小红书', '淘宝']","在小红书上找到一款2024年推荐的运动相机，然后前往淘宝，将该商品加入购物车。","在小红书上找到一款2024年推荐的运动相机，然后前往淘宝，将该商品加入购物车。",25
19,Deep Dive,Chinese,"['携程', '腾讯文档']","打开携程搜索从旧金山（SFO）到纽约（JFK）下周五的航班。然后打开腾讯文档创建一个标题为“SFO to JFK Flight”的笔记，包含最便宜航班的航空公司名称、价格和起飞时间。","打开携程搜索从旧金山（SFO）到纽约（JFK）下周五的航班。然后打开腾讯文档创建一个标题为“SFO to JFK Flight”的笔记，包含最便宜航班的航空公司名称、价格和起飞时间。",40
20,Deep Dive,Chinese,"['百度浏览器', '微信群']","大家想要知道今天、明天、后天的总体天气情况，包含三天里的最高温、最低温和哪几天下雨。打开百度浏览器，搜索天气预报，整理相关信息并在微信群[group chat 1]里发送。","大家想要知道今天、明天、后天的总体天气情况，包含三天里的最高温、最低温和哪几天下雨。打开百度浏览器，搜索天气预报，整理相关信息并在微信群NEXUS-Group里发送。",20
21,Deep Dive,Chinese,"['网易邮箱大师', '腾讯文档']","整理未读邮件内容的方法是：打开网易邮箱大师，点击进入一条未读的邮件，概括邮件内容，然后再打开腾讯文档，将未读邮件的内容概括写入“Emails_to_Read”文档。请对网易邮箱大师中最新的三条未读邮件用这样的方式整理。","整理未读邮件内容的方法是：打开网易邮箱大师，点击进入一条未读的邮件，概括邮件内容，然后再打开腾讯文档，将未读邮件的内容概括写入“Emails_to_Read”文档。请对网易邮箱大师中最新的三条未读邮件用这样的方式整理。",40
22,Deep Dive,Chinese,"['美团', '饿了么']","分别在美团、饿了么里搜索肯德基超级全家桶，然后在价格最便宜的一个平台下单，停留在下单界面。","分别在美团、饿了么里搜索肯德基超级全家桶，然后在价格最便宜的一个平台下单，停留在下单界面。",30
23,Deep Dive,Chinese,"['百度浏览器', '腾讯文档']","在百度浏览器中找到DeepSeek在百度百科上的介绍词条。阅读后回答问题：美国总统特朗普对于DeepSeek的态度如何？这是因为什么？你的回答应该引用页面上的句子以增加可靠性。把你的答案记录在腾讯文档中的DeepSeek_QA文档中。","在百度浏览器中找到DeepSeek在百度百科上的介绍词条。阅读后回答问题：美国总统特朗普对于DeepSeek的态度如何？这是因为什么？你的回答应该引用页面上的句子以增加可靠性。把你的答案记录在腾讯文档中的DeepSeek_QA文档中。",30
24,Deep Dive,Chinese,"['浏览器', '腾讯文档']","使用浏览器访问<https://news.ycombinator.com/> 。阅读前三条新闻，并用不超过三句简洁的话总结每一条新闻。然后在腾讯文档中创建文件“Hacker_News_Today”列出这三条新闻的总结。","使用浏览器访问<https://news.ycombinator.com/> 。阅读前三条新闻，并用不超过三句简洁的话总结每一条新闻。然后在腾讯文档中创建文件“Hacker_News_Today”列出这三条新闻的总结。",30
25,Deep Dive,Chinese,"['日历', '网易邮箱大师']","打开日历，查看从明天开始的三天的日程安排。然后在网易邮箱大师草拟一份发给[mail address]，题目为“会议时间安排”的邮件，在邮件里详细地描述后三天的事务安排，并告知可行的时间。同时请注意，拟定的会议时间应该落在上午9：00-11：30，下午14：00-17：30这个时间范围内。停留在邮件发送界面。","打开日历，查看从明天开始的三天的日程安排。然后在网易邮箱大师草拟一份发给sjtu.cs.gy@gmail.com，题目为“会议时间安排”的邮件，在邮件里详细地描述后三天的事务安排，并告知可行的时间。同时请注意，拟定的会议时间应该落在上午9：00-11：30，下午14：00-17：30这个时间范围内。停留在邮件发送界面。",30
